K_4:1
D_6:1
D_0:1
K_0:1
D_7:1
H1:1
H4:1
H3:1
H2:1
U1:1
D1:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
D10:1
D11:1
D12:1
SW1:1
D_14:1
K_1:1
D_3:1
D_10:1
K_5:1
D_4:1
D_8:1
D_5:1
K_9:1
K_8:1
D_2:1
D_1:1
K_11:1
K_6:1
K_10:1
K_3:1
D_9:1
K_2:1
D_11:1
K_7:1
